startYear,endYear,codebookName,label,description
2019,2020,Dietary Supplement Database - Blend Information,DSDIID,Ingredient ID number
2019,2020,Dietary Supplement Database - Blend Information,DSDINGR,Ingredient Name
2019,2020,Dietary Supplement Database - Blend Information,DSDBID,Blend Component ID
2019,2020,Dietary Supplement Database - Blend Information,DSDBCNAM,Blend component name
2019,2020,Dietary Supplement Database - Blend Information,DSDBCCAT,Blend component category
2019,2020,Dietary Supplement Database - Blend Information,DSDBCID,Blend Component ID-old version
2017,2018,Demographic Variables and Sample Weights,SEQN,Respondent sequence number.
2017,2018,Demographic Variables and Sample Weights,SDDSRVYR,Data release cycle
2017,2018,Demographic Variables and Sample Weights,RIDSTATR,Interview and examination status of the participant.
2017,2018,Demographic Variables and Sample Weights,RIAGENDR,Gender of the participant.
2017,2018,Demographic Variables and Sample Weights,RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
2017,2018,Demographic Variables and Sample Weights,RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).
2017,2018,Demographic Variables and Sample Weights,RIDRETH1,Recode of reported race and Hispanic origin information
2017,2018,Demographic Variables and Sample Weights,RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category"
2017,2018,Demographic Variables and Sample Weights,RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31."
2017,2018,Demographic Variables and Sample Weights,RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.
2017,2018,Demographic Variables and Sample Weights,DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)"
2017,2018,Demographic Variables and Sample Weights,DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)"
2017,2018,Demographic Variables and Sample Weights,DMDBORN4,In what country {were you/was SP} born?
2017,2018,Demographic Variables and Sample Weights,DMDYRSUS,Length of time the participant has been in the US.
2017,2018,Demographic Variables and Sample Weights,DMDMARTL,Marital status
