codebookType,startYear,endYear,name,docFile,docFileLink,dataFile,dataFileLink,published
Questionnaire,2005,2006,Acculturation,ACQ_D Doc,/Nchs/Nhanes/2005-2006/ACQ_D.htm,ACQ_D Data [XPT - 285.3 KB],/Nchs/Nhanes/2005-2006/ACQ_D.XPT,March 2008
Questionnaire,2007,2008,Acculturation,ACQ_E Doc,/Nchs/Nhanes/2007-2008/ACQ_E.htm,ACQ_E Data [XPT - 281.6 KB],/Nchs/Nhanes/2007-2008/ACQ_E.XPT,September 2009
Questionnaire,1999,2000,Acculturation,ACQ Doc,/Nchs/Nhanes/1999-2000/ACQ.htm,ACQ Data [XPT - 629.2 KB],/Nchs/Nhanes/1999-2000/ACQ.XPT,June 2002
Questionnaire,2003,2004,Acculturation,ACQ_C Doc,/Nchs/Nhanes/2003-2004/ACQ_C.htm,ACQ_C Data [XPT - 633.4 KB],/Nchs/Nhanes/2003-2004/ACQ_C.XPT,April 2006
Questionnaire,2001,2002,Acculturation,ACQ_B Doc,/Nchs/Nhanes/2001-2002/ACQ_B.htm,ACQ_B Data [XPT - 681 KB],/Nchs/Nhanes/2001-2002/ACQ_B.XPT,May 2004
Questionnaire,2009,2010,Acculturation,ACQ_F Doc,/Nchs/Nhanes/2009-2010/ACQ_F.htm,ACQ_F Data [XPT - 296.6 KB],/Nchs/Nhanes/2009-2010/ACQ_F.XPT,August 2012
Questionnaire,2011,2012,Acculturation,ACQ_G Doc,/Nchs/Nhanes/2011-2012/ACQ_G.htm,ACQ_G Data [XPT - 321.9 KB],/Nchs/Nhanes/2011-2012/ACQ_G.XPT,August 2014
Questionnaire,2013,2014,Acculturation,ACQ_H Doc,/Nchs/Nhanes/2013-2014/ACQ_H.htm,ACQ_H Data [XPT - 434.2 KB],/Nchs/Nhanes/2013-2014/ACQ_H.XPT,March 2016
Questionnaire,2015,2016,Acculturation,ACQ_I Doc,/Nchs/Nhanes/2015-2016/ACQ_I.htm,ACQ_I Data [XPT - 423 KB],/Nchs/Nhanes/2015-2016/ACQ_I.XPT,September 2017
Questionnaire,2017,2018,Acculturation,ACQ_J Doc,/Nchs/Nhanes/2017-2018/ACQ_J.htm,ACQ_J Data [XPT - 396.3 KB],/Nchs/Nhanes/2017-2018/ACQ_J.XPT,February 2020
Questionnaire,2017,2020,Acculturation,P_ACQ Doc,/Nchs/Nhanes/2017-2018/P_ACQ.htm,P_ACQ Data [XPT - 664.8 KB],/Nchs/Nhanes/2017-2018/P_ACQ.XPT,September 2021
Questionnaire,2007,2008,Air Quality,AQQ_E Doc,/Nchs/Nhanes/2007-2008/AQQ_E.htm,AQQ_E Data [XPT - 718.7 KB],/Nchs/Nhanes/2007-2008/AQQ_E.XPT,November 2010
Questionnaire,2009,2010,Air Quality,AQQ_F Doc,/Nchs/Nhanes/2009-2010/AQQ_F.htm,AQQ_F Data [XPT - 756.2 KB],/Nchs/Nhanes/2009-2010/AQQ_F.XPT,September 2011
Questionnaire,2005,2006,Alcohol Use,ALQ_D Doc,/Nchs/Nhanes/2005-2006/ALQ_D.htm,ALQ_D Data [XPT - 337.6 KB],/Nchs/Nhanes/2005-2006/ALQ_D.XPT,March 2008
Questionnaire,2007,2008,Alcohol Use,ALQ_E Doc,/Nchs/Nhanes/2007-2008/ALQ_E.htm,ALQ_E Data [XPT - 403.3 KB],/Nchs/Nhanes/2007-2008/ALQ_E.XPT,September 2009
Questionnaire,1999,2000,Alcohol Use,ALQ Doc,/Nchs/Nhanes/1999-2000/ALQ.htm,ALQ Data [XPT - 314.5 KB],/Nchs/Nhanes/1999-2000/ALQ.XPT,June 2002
Questionnaire,2003,2004,Alcohol Use,ALQ_C Doc,/Nchs/Nhanes/2003-2004/ALQ_C.htm,ALQ_C Data [XPT - 335.4 KB],/Nchs/Nhanes/2003-2004/ALQ_C.XPT,December 2006
Questionnaire,2001,2002,Alcohol Use,ALQ_B Doc,/Nchs/Nhanes/2001-2002/ALQ_B.htm,ALQ_B Data [XPT - 355.5 KB],/Nchs/Nhanes/2001-2002/ALQ_B.XPT,May 2004
Questionnaire,2009,2010,Alcohol Use,ALQ_F Doc,/Nchs/Nhanes/2009-2010/ALQ_F.htm,ALQ_F Data [XPT - 428 KB],/Nchs/Nhanes/2009-2010/ALQ_F.XPT,January 2012
Questionnaire,2011,2012,Alcohol Use,ALQ_G Doc,/Nchs/Nhanes/2011-2012/ALQ_G.htm,ALQ_G Data [XPT - 440.8 KB],/Nchs/Nhanes/2011-2012/ALQ_G.XPT,October 2013
